"","gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","prodbin","Age","Billyear","Billmonth"
"1","M","Yes",2,"Furniture",60.288,8,3,17,2016,7
"2","M","Yes",2,"Office Supplies",2.632,1,6,17,2016,7
"3","M","Yes",2,"Technology",1035.8,4,9,16,2015,10
"4","M","Yes",2,"Furniture",253.372,2,1,17,2016,7
"5","M","Yes",2,"Technology",23.976,3,10,18,2017,4
"6","M","Yes",2,"Office Supplies",22.72,4,7,18,2017,9
"7","M","Yes",2,"Office Supplies",21.36,5,4,15,2014,2
"8","M","Yes",2,"Technology",333.576,3,10,17,2016,8
"9","M","Yes",2,"Office Supplies",12.544,2,4,17,2016,8
"10","M","Yes",2,"Furniture",213.43,5,2,18,2017,9
"11","M","Yes",2,"Office Supplies",6.264,3,6,18,2017,4
"12","M","Yes",2,"Furniture",136.464,2,3,17,2016,8
"13","M","Yes",2,"Furniture",21.184,2,2,18,2017,9
"14","M","Yes",2,"Office Supplies",42.616,7,5,18,2017,9
"15","M","Yes",2,"Office Supplies",23.688,9,7,17,2016,7
"16","M","Yes",2,"Technology",319.984,2,9,18,2017,9
"17","M","Yes",2,"Office Supplies",45.92,5,6,18,2017,9
"18","M","Yes",2,"Office Supplies",20.736,4,6,18,2017,9
"19","M","Yes",2,"Furniture",218.352,3,2,18,2017,4
"20","M","Yes",2,"Office Supplies",20.808,3,3,18,2017,4
"21","M","Yes",2,"Technology",52.792,1,10,18,2017,10
"22","M","No",1,"Office Supplies",10.9,5,6,32,2017,4
"23","M","No",1,"Technology",274.89,11,9,32,2017,4
"24","M","No",1,"Office Supplies",7.38,2,6,32,2017,4
"25","M","No",1,"Furniture",218.352,3,2,32,2017,4
"26","M","No",1,"Furniture",105.686,1,1,30,2015,5
"27","M","No",1,"Office Supplies",23.04,8,6,32,2017,4
"28","M","No",1,"Office Supplies",18.97,1,6,31,2016,9
"29","M","No",1,"Furniture",354.9,5,2,31,2016,3
"30","M","No",1,"Office Supplies",51.8,4,5,31,2016,3
"31","M","No",1,"Office Supplies",28.14,3,7,32,2017,4
"32","M","No",1,"Office Supplies",36.544,2,7,29,2014,6
"33","M","No",1,"Technology",12.585,1,9,32,2017,9
"34","M","No",1,"Office Supplies",17.94,3,7,31,2016,3
"35","M","No",1,"Furniture",127.936,8,2,32,2017,9
"36","M","No",1,"Office Supplies",3.882,2,4,32,2017,9
"37","M","No",1,"Technology",241.17,2,9,32,2017,9
"38","M","No",1,"Office Supplies",18.312,4,5,32,2017,9
"39","M","No",1,"Technology",399.54,2,9,30,2015,5
"40","M","No",1,"Furniture",113.372,2,2,32,2017,9
"41","M","No",1,"Furniture",104.93,5,2,30,2015,5
"42","M","No",1,"Office Supplies",11.21,1,8,31,2016,3
"43","M","Yes",4,"Office Supplies",48.16,7,7,31,2016,9
"44","M","Yes",4,"Furniture",1048.35,5,3,32,2017,4
"45","M","Yes",4,"Furniture",181.95,3,2,32,2017,12
"46","M","Yes",4,"Office Supplies",14.94,3,6,29,2014,3
"47","M","Yes",4,"Furniture",17.088,2,2,31,2016,9
"48","M","Yes",4,"Technology",32.96,2,8,29,2014,3
"49","M","Yes",4,"Office Supplies",123.92,5,6,31,2016,7
"50","M","Yes",4,"Office Supplies",82.368,2,8,31,2016,5
"51","M","Yes",4,"Office Supplies",14.52,3,4,29,2014,6
"52","M","Yes",4,"Office Supplies",23.1,2,4,32,2017,3
"53","M","Yes",4,"Office Supplies",146.76,3,3,29,2014,3
"54","M","Yes",4,"Office Supplies",12.96,2,7,31,2016,4
"55","M","Yes",4,"Furniture",98.392,1,2,31,2016,9
"56","M","Yes",4,"Office Supplies",23.2,5,4,31,2016,4
"57","M","Yes",4,"Technology",587.97,3,10,29,2014,3
"58","M","Yes",4,"Technology",159.99,1,9,33,2017,11
"59","M","Yes",4,"Furniture",9.24,3,2,33,2017,9
"60","M","Yes",4,"Office Supplies",77.88,2,8,32,2016,7
"61","M","Yes",4,"Office Supplies",35.88,6,7,33,2017,9
"62","M","Yes",4,"Office Supplies",675.12,3,3,30,2014,11
"63","M","Yes",4,"Office Supplies",16.23,3,6,30,2014,11
"64","M","Yes",4,"Office Supplies",931.176,3,5,33,2017,9
"65","M","Yes",4,"Office Supplies",4.608,2,6,31,2015,8
