"","gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","prodbin","Age","Billyear","Billmonth","pam_fit2$clustering"
"1","M","Yes",2,"Furniture",60.288,8,"(6.4e+03,6.6e+03]",17,2016,7,1
"2","M","Yes",2,"Office Supplies",2.632,1,"(7e+03,7.2e+03]",17,2016,7,2
"3","M","Yes",2,"Technology",1035.8,4,"(7.6e+03,7.8e+03]",16,2015,10,3
"4","M","Yes",2,"Furniture",253.372,2,"(6e+03,6.2e+03]",17,2016,7,1
"5","M","Yes",2,"Technology",23.976,3,"(7.8e+03,8e+03]",18,2017,4,3
"6","M","Yes",2,"Office Supplies",22.72,4,"(7.2e+03,7.4e+03]",18,2017,9,2
"7","M","Yes",2,"Office Supplies",21.36,5,"(6.6e+03,6.8e+03]",15,2014,2,2
"8","M","Yes",2,"Technology",333.576,3,"(7.8e+03,8e+03]",17,2016,8,3
"9","M","Yes",2,"Office Supplies",12.544,2,"(6.6e+03,6.8e+03]",17,2016,8,2
"10","M","Yes",2,"Furniture",213.43,5,"(6.2e+03,6.4e+03]",18,2017,9,1
"11","M","Yes",2,"Office Supplies",6.264,3,"(7e+03,7.2e+03]",18,2017,4,2
"12","M","Yes",2,"Furniture",136.464,2,"(6.4e+03,6.6e+03]",17,2016,8,1
"13","M","Yes",2,"Furniture",21.184,2,"(6.2e+03,6.4e+03]",18,2017,9,1
"14","M","Yes",2,"Office Supplies",42.616,7,"(6.8e+03,7e+03]",18,2017,9,2
"15","M","Yes",2,"Office Supplies",23.688,9,"(7.2e+03,7.4e+03]",17,2016,7,2
"16","M","Yes",2,"Technology",319.984,2,"(7.6e+03,7.8e+03]",18,2017,9,4
"17","M","Yes",2,"Office Supplies",45.92,5,"(7e+03,7.2e+03]",18,2017,9,2
"18","M","Yes",2,"Office Supplies",20.736,4,"(7e+03,7.2e+03]",18,2017,9,2
"19","M","Yes",2,"Furniture",218.352,3,"(6.2e+03,6.4e+03]",18,2017,4,1
"20","M","Yes",2,"Office Supplies",20.808,3,"(6.4e+03,6.6e+03]",18,2017,4,2
"21","M","Yes",2,"Technology",52.792,1,"(7.8e+03,8e+03]",18,2017,10,3
"22","M","No",1,"Office Supplies",10.9,5,"(7e+03,7.2e+03]",32,2017,4,2
"23","M","No",1,"Technology",274.89,11,"(7.6e+03,7.8e+03]",32,2017,4,4
"24","M","No",1,"Office Supplies",7.38,2,"(7e+03,7.2e+03]",32,2017,4,2
"25","M","No",1,"Furniture",218.352,3,"(6.2e+03,6.4e+03]",32,2017,4,1
"26","M","No",1,"Furniture",105.686,1,"(6e+03,6.2e+03]",30,2015,5,1
"27","M","No",1,"Office Supplies",23.04,8,"(7e+03,7.2e+03]",32,2017,4,2
"28","M","No",1,"Office Supplies",18.97,1,"(7e+03,7.2e+03]",31,2016,9,2
"29","M","No",1,"Furniture",354.9,5,"(6.2e+03,6.4e+03]",31,2016,3,1
"30","M","No",1,"Office Supplies",51.8,4,"(6.8e+03,7e+03]",31,2016,3,2
"31","M","No",1,"Office Supplies",28.14,3,"(7.2e+03,7.4e+03]",32,2017,4,2
"32","M","No",1,"Office Supplies",36.544,2,"(7.2e+03,7.4e+03]",29,2014,6,2
"33","M","No",1,"Technology",12.585,1,"(7.6e+03,7.8e+03]",32,2017,9,4
"34","M","No",1,"Office Supplies",17.94,3,"(7.2e+03,7.4e+03]",31,2016,3,2
"35","M","No",1,"Furniture",127.936,8,"(6.2e+03,6.4e+03]",32,2017,9,1
"36","M","No",1,"Office Supplies",3.882,2,"(6.6e+03,6.8e+03]",32,2017,9,2
"37","M","No",1,"Technology",241.17,2,"(7.6e+03,7.8e+03]",32,2017,9,4
"38","M","No",1,"Office Supplies",18.312,4,"(6.8e+03,7e+03]",32,2017,9,2
"39","M","No",1,"Technology",399.54,2,"(7.6e+03,7.8e+03]",30,2015,5,3
"40","M","No",1,"Furniture",113.372,2,"(6.2e+03,6.4e+03]",32,2017,9,1
"41","M","No",1,"Furniture",104.93,5,"(6.2e+03,6.4e+03]",30,2015,5,1
"42","M","No",1,"Office Supplies",11.21,1,"(7.4e+03,7.6e+03]",31,2016,3,2
"43","M","Yes",4,"Office Supplies",48.16,7,"(7.2e+03,7.4e+03]",31,2016,9,2
"44","M","Yes",4,"Furniture",1048.35,5,"(6.4e+03,6.6e+03]",32,2017,4,1
"45","M","Yes",4,"Furniture",181.95,3,"(6.2e+03,6.4e+03]",32,2017,12,1
"46","M","Yes",4,"Office Supplies",14.94,3,"(7e+03,7.2e+03]",29,2014,3,2
"47","M","Yes",4,"Furniture",17.088,2,"(6.2e+03,6.4e+03]",31,2016,9,1
"48","M","Yes",4,"Technology",32.96,2,"(7.4e+03,7.6e+03]",29,2014,3,3
"49","M","Yes",4,"Office Supplies",123.92,5,"(7e+03,7.2e+03]",31,2016,7,2
"50","M","Yes",4,"Office Supplies",82.368,2,"(7.4e+03,7.6e+03]",31,2016,5,2
"51","M","Yes",4,"Office Supplies",14.52,3,"(6.6e+03,6.8e+03]",29,2014,6,2
"52","M","Yes",4,"Office Supplies",23.1,2,"(6.6e+03,6.8e+03]",32,2017,3,2
"53","M","Yes",4,"Office Supplies",146.76,3,"(6.4e+03,6.6e+03]",29,2014,3,2
"54","M","Yes",4,"Office Supplies",12.96,2,"(7.2e+03,7.4e+03]",31,2016,4,2
"55","M","Yes",4,"Furniture",98.392,1,"(6.2e+03,6.4e+03]",31,2016,9,1
"56","M","Yes",4,"Office Supplies",23.2,5,"(6.6e+03,6.8e+03]",31,2016,4,2
"57","M","Yes",4,"Technology",587.97,3,"(7.8e+03,8e+03]",29,2014,3,3
"58","M","Yes",4,"Technology",159.99,1,"(7.6e+03,7.8e+03]",33,2017,11,4
"59","M","Yes",4,"Furniture",9.24,3,"(6.2e+03,6.4e+03]",33,2017,9,1
"60","M","Yes",4,"Office Supplies",77.88,2,"(7.4e+03,7.6e+03]",32,2016,7,2
"61","M","Yes",4,"Office Supplies",35.88,6,"(7.2e+03,7.4e+03]",33,2017,9,2
"62","M","Yes",4,"Office Supplies",675.12,3,"(6.4e+03,6.6e+03]",30,2014,11,2
"63","M","Yes",4,"Office Supplies",16.23,3,"(7e+03,7.2e+03]",30,2014,11,2
"64","M","Yes",4,"Office Supplies",931.176,3,"(6.8e+03,7e+03]",33,2017,9,2
"65","M","Yes",4,"Office Supplies",4.608,2,"(7e+03,7.2e+03]",31,2015,8,2
"66","M","Yes",4,"Technology",79.99,1,"(7.6e+03,7.8e+03]",33,2017,11,4
