"BillNumber","BillDate","CustomerID","ProductID","ProductCategory","Sales","Quantity"
"B32607",2014-01-03,"C14797","PR7138","Office Supplies",16.448,2
"B37616",2014-01-03,"C13917","PR7138","Office Supplies",16.448,2
"B42625",2014-01-03,"C14353","PR7138","Office Supplies",16.448,2
"B32712",2014-01-04,"C13351","PR7099","Office Supplies",11.784,3
"B32712",2014-01-04,"C13351","PR7490","Office Supplies",272.736,3
"B32712",2014-01-04,"C13351","PR6916","Office Supplies",3.54,2
"B37721",2014-01-04,"C13885","PR7099","Office Supplies",11.784,3
"B37721",2014-01-04,"C13885","PR7490","Office Supplies",272.736,3
"B37721",2014-01-04,"C13885","PR6916","Office Supplies",3.54,2
"B42730",2014-01-04,"C14780","PR7099","Office Supplies",11.784,3
"B42730",2014-01-04,"C14780","PR7490","Office Supplies",272.736,3
"B42730",2014-01-04,"C14780","PR6916","Office Supplies",3.54,2
"B33062",2014-01-05,"C14723","PR6694","Office Supplies",19.536,3
"B38071",2014-01-05,"C14817","PR6694","Office Supplies",19.536,3
"B43080",2014-01-05,"C13097","PR6694","Office Supplies",19.536,3
"B32634",2014-01-06,"C14034","PR6664","Office Supplies",12.78,3
"B32931",2014-01-06,"C14139","PR7261","Office Supplies",19.44,3
"B33327",2014-01-06,"C13559","PR6230","Furniture",2573.82,9
"B33327",2014-01-06,"C13559","PR6943","Office Supplies",609.98,2
"B33327",2014-01-06,"C13559","PR6637","Office Supplies",5.48,2
"B33327",2014-01-06,"C13559","PR7973","Technology",391.98,2
"B33327",2014-01-06,"C13559","PR7957","Technology",755.96,4
"B33327",2014-01-06,"C13559","PR7032","Office Supplies",31.12,4
"B33327",2014-01-06,"C13559","PR7191","Office Supplies",6.54,1
"B37643",2014-01-06,"C12967","PR6664","Office Supplies",12.78,3
"B37940",2014-01-06,"C13492","PR7261","Office Supplies",19.44,3
"B38336",2014-01-06,"C14305","PR6230","Furniture",2573.82,9
"B38336",2014-01-06,"C14305","PR6943","Office Supplies",609.98,2
"B38336",2014-01-06,"C14305","PR6637","Office Supplies",5.48,2
"B38336",2014-01-06,"C14305","PR7973","Technology",391.98,2
"B38336",2014-01-06,"C14305","PR7957","Technology",755.96,4
"B38336",2014-01-06,"C14305","PR7032","Office Supplies",31.12,4
"B38336",2014-01-06,"C14305","PR7191","Office Supplies",6.54,1
"B42652",2014-01-06,"C14218","PR6664","Office Supplies",12.78,3
"B42949",2014-01-06,"C14539","PR7261","Office Supplies",19.44,3
"B43345",2014-01-06,"C14916","PR6230","Furniture",2573.82,9
"B43345",2014-01-06,"C14916","PR6943","Office Supplies",609.98,2
"B43345",2014-01-06,"C14916","PR6637","Office Supplies",5.48,2
"B43345",2014-01-06,"C14916","PR7973","Technology",391.98,2
"B43345",2014-01-06,"C14916","PR7957","Technology",755.96,4
"B43345",2014-01-06,"C14916","PR7032","Office Supplies",31.12,4
