"CustomerID","DOB","gender","MaritalStatus","Familysize"
"C12551","1999-12-19","M","Yes",2
"C12552","1985-06-14","M","No",1
"C12553","1985-11-21","M","Yes",4
"C12554","1984-02-01","M","Yes",4
"C12555","1998-04-05","F","Yes",2
"C12556","1991-06-22","M","Yes",3
"C12557","1973-11-21","M","Yes",4
"C12558","1985-03-12","M","Yes",3
"C12559","2000-01-02","F","Yes",2
"C12560","1994-02-21","F","Yes",3
"C12561","1997-08-27","F","Yes",3
"C12562","1987-05-05","M","Yes",4
"C12563","1993-06-17","M","Yes",3
"C12564","1978-12-27","M","Yes",4
"C12565","1990-10-15","F","Yes",4
"C12566","1999-07-25","M","Yes",3
"C12567","1963-08-21","M","Yes",4
"C12568","1982-10-19","F","Yes",4
"C12569","1998-09-21","M","Yes",3
"C12570","1961-11-05","M","Yes",4
"C12571","1975-07-07","F","Yes",4
"C12572","1984-06-14","M","Yes",3
"C12573","1943-03-08","M","Yes",4
"C12574","1991-01-22","F","Yes",3
"C12575","1984-06-10","M","No",1
"C12576","1995-04-23","M","Yes",2
"C12577","1973-08-09","F","Yes",3
"C12578","1966-02-24","M","Yes",4
"C12579","1972-08-14","F","Yes",4
"C12580","1991-05-25","M","Yes",3
"C12581","1979-09-27","M","Yes",3
"C12582","2000-08-02","F","Yes",3
"C12583","1973-11-21","M","Yes",4
"C12584","1984-12-12","M","Yes",4
"C12585","1987-05-15","F","Yes",3
"C12586","1978-02-02","F","Yes",3
"C12587","1981-05-23","F","Yes",4
"C12588","1986-08-06","F","Yes",4
"C12589","1985-10-15","M","Yes",4
"C12590","1979-07-27","M","Yes",3
"C12591","1981-12-12","F","Yes",4
"C12592","1951-04-10","F","Yes",4
"C12593","1982-05-18","F","Yes",3
"C12594","1957-06-03","F","Yes",4
"C12595","1975-05-27","M","Yes",4
"C12596","1979-05-08","F","Yes",4
"C12597","1974-02-04","F","Yes",4
"C12598","1998-04-22","F","Yes",2
"C12599","1946-11-19","M","Yes",4
"C12600","1996-11-27","F","Yes",3
"C12601","1994-06-16","F","Yes",3
"C12602","1940-08-10","M","Yes",4
"C12603","1953-03-04","F","Yes",4
"C12604","1984-04-07","F","Yes",4
"C12605","1943-10-03","M","Yes",4
"C12606","1999-09-01","F","Yes",2
"C12607","1968-07-01","M","Yes",4
"C12608","1997-04-27","M","Yes",3
"C12609","1978-02-15","M","Yes",3
"C12610","1973-09-12","F","Yes",4
"C12611","1962-04-04","M","Yes",4
"C12612","1971-06-11","M","Yes",4
"C12613","1993-11-17","M","Yes",3
"C12614","1956-05-25","F","Yes",4
"C12615","1975-01-23","F","Yes",3
"C12616","1977-08-25","F","Yes",4
"C12617","1999-10-05","M","Yes",2
"C12618","1965-12-05","F","Yes",4
"C12619","1980-04-02","M","Yes",4
"C12620","1995-09-12","F","Yes",3
"C12621","1987-01-06","M","Yes",4
"C12622","1962-01-07","M","Yes",4
"C12623","1996-06-25","M","Yes",2
"C12624","1993-06-16","F","Yes",3
"C12625","1985-07-15","M","Yes",4
"C12626","1970-02-23","M","Yes",4
