,name,postal_code,latitude,longitude,Day,accum_tot_comment,Total_accum_positive,Total_accum_negative,comments_of_day,pos_comment,neg_comment,nearby_89109,nearby_89119,stars,Chinese,Italian,Thai,Mexican,Japanese,Caribbean,Mediterranean,LatinAmerican,Saturday,Sunday,treatment,control2,diff_date
0,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,14daysbef,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,7daysbef,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,5daysbef,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
3,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,3daysbef,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
4,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,1daysbef,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
5,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,onthatday,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
6,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,1daysaft,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
7,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,3daysaft,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
8,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,5daysaft,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
9,360 Gourmet Burrito,89119,36.0857159758,-115.15318780790001,7daysaft,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
